,gene_group,associated_uniprot_IDs,associated_reactions
527,b4013,P07623,HSST
528,b2021,P06986,HSTPT
529,b2866;b2867;b2868,Q46799;Q46800;Q46801,HXAND;XAND
530,b0972;b0973;b0974,P69739;P0ACD8;P0AAM1,HYD1pp;HYD2pp;HYD3pp
531,b2994;b2995;b2996;b2997,P0ACE0;P37180;P0AAJ8;P69741,HYD1pp;HYD2pp;HYD3pp
532,b2719;b2720;b2721;b2722;b2723;b2724,P16433;P16432;P16431;P16430;P16429;P0AAK1,HYD1pp
533,b2529;b2530,P0ACD4;P0A6B7,I2FE2SR;I2FE2SS;I2FE2SS2
534,b2528;b2529,P0AAC8;P0ACD4,I2FE2ST;I4FE4ST
535,b2529,P0ACD4,I4FE4SR
536,b1136,P08200,ICDHyr
537,b0593,P0AEJ2,ICHORS_copy1
538,b2265,P38051,ICHORS_copy2
539,b0595,P0ADI4,ICHORT
540,b4015,P0A9G6,ICL
541,b2530,P0A6B7,ICYSDS
542,b4267,P39346,IDOND;IDOND2
543,b2023;b2025,P60595;P60664,IG3PS
544,b1262,P00909,IGPS;PRAIi
545,b3770,P0AB80,ILETA;LEUTAi;PHETA1;TYRTA;VALTA
546,b2508,P0ADG7,IMPD
547,b3488,P37627,INOSTO
548,b2889,Q46822,IPDDI
549,b0073,P30125,IPMD
550,b1800,P76251,IPMD;MALDDH
551,b0071;b0072,P30126;P0A6A6,IPPMIa;IPPMIb
552,b0074,P09151,IPPS
553,b1091,P0A6R0,KAS15;OGMEACPS
554,b0918,P04951,KDOCT2
555,b3198,P0ABZ4,KDOPP
556,b1215,P0A715,KDOPS
557,b2843,Q46938,KDUI
558,b4196,P39304,KG6PDC
559,b3581,P37678,KG6PDC
560,b2257,P76473,LA4NTpp
561,b0344,P00722,LACZ
562,b2132,P33363,LACZpp
563,b1326,P0ACV6,LADGMDH
564,b2799,P0A9S1,LCARS
565,b0325,P75691,LCARSyi;PPDOy
566,b1380,P52643,LDH_D
567,b2133,P06149,LDH_D2
568,b1651,P0AC81,LGTHL
569,b0622,P37001,LIPAHT2ex;LIPAHTex
570,b4386,P32099,LIPAMPL;LIPATPT;OCTNLL
571,b0630,P60720,LIPOCT
572,b0628,P60716,LIPOS
573,b2245,P76469,LKDRA
574,b0182,P10441,LPADSS
575,b0494,P0ADA1,LPLIPAL1A120pp;LPLIPAL1A140pp;LPLIPAL1A141pp;LPLIPAL1A160pp;LPLIPAL1A161pp;LPLIPAL1A180pp;LPLIPAL1A181pp;LPLIPAL1E120pp;LPLIPAL1E140pp;LPLIPAL1E141pp;LPLIPAL1E160pp;LPLIPAL1E161pp;LPLIPAL1E180pp;LPLIPAL1E181pp;LPLIPAL1G120pp;LPLIPAL1G140pp;LPLIPAL1G141pp;LPLIPAL1G160pp;LPLIPAL1G161pp;LPLIPAL1G180pp;LPLIPAL1G181pp
576,b3825,P07000,LPLIPAL2A120;LPLIPAL2A140;LPLIPAL2A141;LPLIPAL2A160;LPLIPAL2A161;LPLIPAL2A180;LPLIPAL2A181;LPLIPAL2ATE120;LPLIPAL2ATE140;LPLIPAL2ATE141;LPLIPAL2ATE160;LPLIPAL2ATE161;LPLIPAL2ATE180;LPLIPAL2ATE181;LPLIPAL2ATG120;LPLIPAL2ATG140;LPLIPAL2ATG141;LPLIPAL2ATG160;LPLIPAL2ATG161;LPLIPAL2ATG180;LPLIPAL2ATG181;LPLIPAL2E120;LPLIPAL2E140;LPLIPAL2E141;LPLIPAL2E160;LPLIPAL2E161;LPLIPAL2E180;LPLIPAL2E181;LPLIPAL2G120;LPLIPAL2G140;LPLIPAL2G141;LPLIPAL2G160;LPLIPAL2G161;LPLIPAL2G180;LPLIPAL2G181
577,b4146,P39280,LYSAM
578,b0186,P52095,LYSDC
579,b4131,P0A9H3,LYSDC
580,b3903,P32170,LYXI;RMI
581,b0306;b0307;b0308,P77252;P77536;P77433,L_LACD2;L_LACD3
582,b3605,P33232,L_LACD2;L_LACD3
583,b3600,P09424,M1PD
584,b0777,P12999,MALCOAMT
585,b4014,P08997,MALS
586,b2976,P37330,MALS
587,b2049,P24174,MAN1PT2
588,b1613,P00946,MAN6PI
589,b4323,P39160,MANAO
590,b0732,P54746,MANPGH
591,b0334,P77243,MCITD
592,b0331,P77541,MCITL2
593,b0333,P31660,MCITS
594,b1092;b1094,P0AAI9;P0A6A8,MCOATA
595,b0084;b0635;b3396,P0AD68;P0AD65;P02918,MCTP1App;MCTP2App
596,b0084;b0149;b0635,P0AD68;P02919;P0AD65,MCTP1App;MCTP2App
597,b1678,P76193,MCTP1Bpp;MLDCP1App;MLDCP1Bpp;MLDCP2App;MLDCP2Bpp;MLDCP3App
598,b0925,P22525,MCTP1Bpp;MLDCP1App;MLDCP1Bpp;MLDCP2App;MLDCP2Bpp;MLDCP3App
599,b0632,P0AEB2,MDDCP1pp;MDDCP2pp;MDDCP3pp;MDDCP4pp;MDDCP5pp
600,b3182,P24228,MDDCP1pp;MDDCP2pp;MDDCP3pp;MDDCP4pp;MDDCP5pp;MDDEP1pp;MDDEP2pp;MDDEP3pp;MDDEP4pp
601,b0839,P08506,MDDCP1pp;MDDCP2pp;MDDCP3pp;MDDCP4pp;MDDCP5pp
602,b2010,P33013,MDDCP1pp;MDDCP2pp;MDDCP3pp;MDDCP4pp;MDDCP5pp
603,b0376,P0AD70,MDDCP1pp;MDDCP2pp;MDDCP3pp;MDDCP4pp;MDDCP5pp;MDDEP1pp;MDDEP2pp;MDDEP3pp;MDDEP4pp
604,b2430,P77619,MDDCP1pp;MDDCP2pp;MDDCP3pp;MDDCP4pp;MDDCP5pp
605,b2328,P0C0T5,MDDEP1pp;MDDEP2pp;MDDEP3pp;MDDEP4pp;MLDEP1pp;MLDEP2pp
606,b2134,P0AFI5,MDDEP1pp;MDDEP2pp;MDDEP3pp;MDDEP4pp
607,b1655,P76190,MDDEP1pp;MDDEP2pp;MDDEP3pp;MDDEP4pp
608,b1856,P0AFS9,MDDEP1pp;MDDEP2pp;MDDEP3pp;MDDEP4pp
609,b3236,P61889,MDH
610,b2210,P33940,MDH2;MDH3
611,b1479,P26616,ME1
612,b2463,P76558,ME2
613,b2515;b2895,P62620;P0ABY4,MECDPDH5
614,b0684;b2515,P61949;P62620,MECDPDH5
615,b2746,P62617,MECDPS
616,b2747,Q46893,MEPCT
617,b2942,P0A817,METAT
618,b1617,P05804,METGLCUR
619,b1448,P76112,METNA
620,b4019,P13009,METS
621,b3829,P25665,METS
622,b2582;b4219,P0AGG4;P0A744,METSOXR1
623,b3781;b4219,P0AA25;P0A744,METSOXR1
624,b2582;b3551,P0AGG4;P20099,METSOXR1
625,b3551;b3781,P20099;P0AA25,METSOXR1
626,b1778;b2582,P0A746;P0AGG4,METSOXR2
627,b1778;b3781,P0A746;P0AA25,METSOXR2
628,b1832;b3781,P76270;P0AA25,METSOXR2
629,b1832;b2582,P76270;P0AGG4,METSOXR2
630,b0963,P0A731,MGSA
631,b1990,P39176,MLDCP1App;MLDCP1Bpp;MLDCP2App;MLDCP2Bpp;MLDCP3App
632,b1113,P75954,MLDCP1App;MLDCP1Bpp;MLDCP2App;MLDCP2Bpp;MLDCP3App
633,b0819,P0AAX8,MLDCP1App;MLDCP1Bpp;MLDCP2App;MLDCP2Bpp;MLDCP3App
634,b0403,P21517,MLTG1;MLTG2;MLTG3;MLTG4;MLTG5
635,b2963,P0C066,MLTGY1pp;MLTGY2pp;MLTGY3pp;MLTGY4pp
636,b4392,P0AGC3,MLTGY1pp;MLTGY2pp;MLTGY3pp;MLTGY4pp
637,b2813,P0A935,MLTGY1pp;MLTGY2pp;MLTGY3pp;MLTGY4pp
638,b2701,P41052,MLTGY1pp;MLTGY2pp;MLTGY3pp;MLTGY4pp
639,b1193,P0C960,MLTGY1pp;MLTGY2pp;MLTGY3pp;MLTGY4pp
640,b2558,P0AGC5,MLTGY1pp;MLTGY2pp;MLTGY3pp;MLTGY4pp
641,b0211,P0AEZ7,MLTGY1pp;MLTGY2pp;MLTGY3pp;MLTGY4pp
642,b1097,None,MLTGY1pp;MLTGY2pp;MLTGY3pp;MLTGY4pp
643,b2919,P52045,MMCD
644,b2917,P27253,MMM
645,b4322,P24215,MNNH
646,b0784;b2530,P30748;P0A6B7,MOADSUx
647,b3633,P0AC75,MOAT;MOAT2
648,b3624,P27241,MOAT3C
649,b2877,Q46810,MOCDS
650,b0134,P31057,MOHMT
651,b0009,P0AF03,MPTAT
652,b0089;b1069;b3208,P0ABG4;P0AF16;P46022,MPTG;MPTG2
653,b0089;b1069;b3396,P0ABG4;P0AF16;P02918,MPTG;MPTG2
654,b0089;b1069;b2519,P0ABG4;P0AF16;P76577,MPTG;MPTG2
655,b0089;b0149;b1069,P0ABG4;P02919;P0AF16,MPTG;MPTG2
656,b0784;b0785,P30748;P30749,MPTS
657,b0826,P12282,MPTSS
658,b1008,P75894,MSAR
659,b0529,P24186,MTHFC;MTHFD
660,b3941,P0AEZ1,MTHFR2
661,b1059,P40874,MTRPOX;SARCOX
662,b3996,P32664,NADDP
663,b2411,P15042,NADDP
664,b1109,P00393,NADH10;NADH5;NADH9
665,b3713,P0AGE6,NADH10;NADH5;NADH9
666,b0046,P0A754,NADH10;NADH5;NADH9
667,b1004,P0A8G6,NADH10;NADH5;NADH9
668,b2276;b2277;b2278;b2279;b2280;b2281;b2282;b2283;b2284;b2285;b2286;b2287;b2288,P0AFF0;P0AFE8;P33607;P0AFE4;P0AFE0;P0AFD6;P0AFD4;P33602;P31979;P0AFD1;P33599;P0AFC7;P0AFC3,NADH16pp;NADH17pp;NADH18pp
669,b0605;b0606,P0AE08;P35340,NADHPO
670,b4167,P31806,NADHXD;NADHXE;NADPHXD;NADPHXE
671,b2615,P0A7B3,NADK
672,b3028,P0AEY5,NADPHQR2;NADPHQR3;NADPHQR4
673,b1740,P18843,NADS1
674,b3962,P27306,NADTRHD
675,b0931,P18133,NAMNPP
676,b2518,P0A763,NDPK1;NDPK2;NDPK3;NDPK4;NDPK5;NDPK6;NDPK7;NDPK8
677,b2710;b2711,Q46877;P37596,NHFRBO
678,b4390,P27278,NMNAT
679,b0639,P0A752,NMNAT;NNATr
680,b2700,P0A6G3,NMNDA
681,b1768,P21369,NNAM
682,b1991,P36562,NNDMBRT
683,b0109,P30011,NNDPR
684,b2202;b2203;b2204;b2205;b2206,P0ABL5;P0ABL3;P33934;P0AAL3;P33937,NO3R1bpp
685,b1465;b1466;b1467;b1468,P0AF32;P19317;P19318;P19319,NO3R1pp;NO3R2pp
686,b1224;b1225;b1226;b1227,P09152;P11349;P0AF26;P11350,NO3R1pp;NO3R2pp
687,b2202;b2203;b2206,P0ABL5;P0ABL3;P33937,NO3R2bpp
688,b2552,P24232,NODOx;NODOy
689,b2744,P0A840,NTD1;NTD10;NTD11;NTD12;NTD2;NTD3;NTD4;NTD5;NTD6;NTD7;NTD8;NTD9;PPA;PPA2
690,b4374,P0A8Y1,NTD1;NTD2;NTD5
691,b2291,P76491,NTD1;NTD12;NTD3;NTD5;NTD6;NTD8
692,b2361,P76514,NTD1;NTD12;NTD3;NTD5;NTD6;NTD7;NTD8;NTD9
693,b0480,P07024,NTD10pp;NTD11pp;NTD12pp;NTD1pp;NTD2pp;NTD3pp;NTD4pp;NTD5pp;NTD6pp;NTD7pp;NTD8pp;NTD9pp;UACGALPpp;UACGAMPpp;UDPGALPpp;UDPGPpp;UGLCURPpp
694,b3399,P64636,NTD11;NTD12;NTD7;NTD8;NTD9
695,b0650,P77319,NTP1
696,b4161,P39286,NTP1;NTP10;NTP3;NTP5
697,b4394,P39411,NTP10;NTP11;NTP12
698,b4352,P24203,NTP3
699,b2727,P0AAN3,NTP3
700,b2918,P27254,NTP3
701,b2173,P33030,NTP3
702,b3590,P14081,NTP3
703,b4173,P25519,NTP3
704,b0980,P07102,NTP3pp;PHYTSpp
705,b2781,P0AEY3,NTPP1;NTPP2;NTPP3;NTPP4;NTPP5;NTPP6;NTPP7;NTPP8
706,b2954,P52061,NTPP10;NTPP11;NTPP9
707,b1759,P77788,NTPP3;NTPP4
708,b0905,P75838,NTPP6
709,b3248,P25536,NTPP7;NTPP8
710,b0160,P15723,NTPTP1;NTPTP2
711,b3365;b3366,P08201;P0A9I8,NTRIR2x
712,b4070;b4071;b4072;b4073,P0ABK9;P0ABL1;P0AAK7;P32709,NTRIR3pp;NTRIR4pp
713,b2027;b2035,P76372;P37748,O16AP1pp;O16AP2pp;O16AP3pp
714,b2033,P37750,O16AT
715,b2037,P37746,O16AUNDtpp
716,b2034,P37749,O16GALFT
717,b2032,P37751,O16GLCT1
718,b0902;b0903;b2579,P0A9N4;P09373;P68066,OBTFL;PFL
719,b0902;b0903,P0A9N4;P09373,OBTFL;PFL
720,b0902;b3114,P0A9N4;P42632,OBTFL;PFL
721,b4254,P04391,OCBT
722,b0273,P06960,OCBT
723,b3187,P0AD57,OCTDPS
724,b0907,P23721,OHPBAT;PSERT;SDPTA
725,b0662,P75728,OMMBLHXy
726,b1281,P08244,OMPDC
727,b2907,P25534,OMPHHXy
728,b0350,P77608,OP4ENH
729,b3843,P0AAB4,OPHBDC
730,b2906,P25535,OPHHXy
731,b2965,P21169,ORNDC
732,b0693,P24169,ORNDC
733,b3642,P0A7E3,ORPT
734,b2373,P0AFI0,OXCDC
735,b1387,P77455,OXCOAHDH
736,b1394;b1397,P77467;P0C7L2,OXDHCOAT
737,b1014,P09546,P5CD;PROD3
738,b0386,P0A9L8,P5CR
739,b1388;b1389;b1390;b1391;b1392,P76077;P76078;P76079;P76080;P76081,PACCOAE
740,b1398,P76085,PACCOAL
741,b1518,P64461,PAI2I
742,b1517,P76143,PAI2T
743,b0133,P31663,PANTS
744,b1278,P0A924,PAPA120;PAPA120pp;PAPA140;PAPA140pp;PAPA141;PAPA141pp;PAPA160;PAPA160pp;PAPA161;PAPA161pp;PAPA180;PAPA180pp;PAPA181;PAPA181pp;PGPP120;PGPP120pp;PGPP140;PGPP140pp;PGPP141;PGPP141pp;PGPP160;PGPP160pp;PGPP161;PGPP161pp;PGPP180;PGPP180pp;PGPP181;PGPP181pp;UDCPDP;UDCPDPpp
745,b0087,P0A6W3,PAPPT3
746,b2582;b2762,P0AGG4;P17854,PAPSR
747,b2762;b3781,P17854;P0AA25,PAPSR
748,b2762;b3610,P17854;P0AC62,PAPSR2
749,b0849;b2762,P68688;P17854,PAPSR2
750,b1064;b2762,P0AC59;P17854,PAPSR2
751,b1654;b2762,P0AC69;P17854,PAPSR2
752,b3253,P26646,PCNO
753,b3032,P0AEW4,PDE1
754,b0114;b0115;b0116,P0AFG8;P06959;P0A9P0,PDH
755,b1638,P0AFI7,PDX5POi;PYAM5PO
756,b0052;b2564,P19624;P0A794,PDX5PS
757,b0766,P21829,PDXPP;PYDXPP
758,b2320,P05459,PERD
759,b3546,P37661,PETNT161pp;PETNT181pp
760,b3916,P0A796,PFK;PFK_2;PFK_3
761,b1723,P06999,PFK
762,b3951;b3952,P32674;P32675,PFL
763,b3176,P31120,PGAMT
764,b4025,P0A6T1,PGI
765,b2926,P0A799,PGK
766,b0767,P52697,PGL
767,b3385,P32662,PGLYCP
768,b0755,P62707,PGM
769,b3612,P37689,PGM
770,b0688,P36938,PGMT
771,b1317,P77366,PGMT
772,b0418,P18200,PGPP120;PGPP120pp;PGPP140;PGPP140pp;PGPP141;PGPP141pp;PGPP160;PGPP160pp;PGPP161;PGPP161pp;PGPP180;PGPP180pp;PGPP181;PGPP181pp
773,b1912,P0ABF8,PGSA120;PGSA140;PGSA141;PGSA160;PGSA161;PGSA180;PGSA181
774,b2873,Q46806,PHDA
775,b3821,P0A921,PLIPA1A120pp;PLIPA1A140pp;PLIPA1A141pp;PLIPA1A160pp;PLIPA1A161pp;PLIPA1A180pp;PLIPA1A181pp;PLIPA1E120pp;PLIPA1E140pp;PLIPA1E141pp;PLIPA1E160pp;PLIPA1E161pp;PLIPA1E180pp;PLIPA1E181pp;PLIPA1G120pp;PLIPA1G140pp;PLIPA1G141pp;PLIPA1G160pp;PLIPA1G161pp;PLIPA1G180pp;PLIPA1G181pp;PLIPA2A120pp;PLIPA2A140pp;PLIPA2A141pp;PLIPA2A160pp;PLIPA2A161pp;PLIPA2A180pp;PLIPA2A181pp;PLIPA2E120pp;PLIPA2E140pp;PLIPA2E141pp;PLIPA2E160pp;PLIPA2E161pp;PLIPA2E180pp;PLIPA2E181pp;PLIPA2G120pp;PLIPA2G140pp;PLIPA2G141pp;PLIPA2G160pp;PLIPA2G161pp;PLIPA2G180pp;PLIPA2G181pp
776,b2048,P24175,PMANM
777,b3412,P13001,PMEACPE
778,b1103,P0ACE7,PNSPA
779,b3974,P0A6I3,PNTK
780,b1010,P0AFQ5,POAACR
781,b0684;b1378,P61949;P52647,POR5
782,b1378;b2895,P52647;P0ABY4,POR5
783,b0871,P07003,POX
784,b2502,P0AFL6,PPA;PPA2
785,b4226,P0A7A9,PPA
786,b0369,P0ACB2,PPBNGS
787,b3956,P00864,PPC
788,b3639,P0ABQ0,PPCDC;PPNCL2
789,b3403,P22259,PPCK
790,b2920,P52043,PPCSCT
791,b2501,P0A7B1,PPK;PPK2
792,b4383,P0A6K6,PPM;PPM2
793,b3850,P0ACB4,PPPGO;PPPGO3
794,b1702,P23538,PPS
795,b4005,P15640,PRAGSr
796,b2499,P08178,PRAIS
797,b2026,P06989,PRAMPC;PRATPP
798,b2476,P0A7D7,PRASCSi
799,b4092,P16692,PRCPD
800,b2557,P15254,PRFGS
801,b2024,P10371,PRMICI
802,b1207,P0A717,PRPPS
803,b0908,P0A6D3,PSCVT
804,b4160,P0A8K1,PSD120;PSD140;PSD141;PSD160;PSD161;PSD180;PSD181
805,b4388,P0AGB0,PSP_L
806,b2585,P23830,PSSA120;PSSA140;PSSA141;PSSA160;PSSA161;PSSA180;PSSA181
807,b2166,P30235,PSURIK
808,b2297,P0A9M8,PTA2;PTAr
809,b2458,P77218,PTAr
810,b3634,P0A6I6,PTPATi
811,b3073,P42588,PTRCTA
812,b1021;b1022,P69432;P75905,PUACGAMS
813,b2407,P45563,PUNP3;PUNP4;PUNP5;PUNP6;PUNP7
814,b1636,P77150,PYDXK
815,b1854,P21599,PYK;PYK2;PYK3;PYK4;PYK6
816,b1676,P0AD61,PYK
817,b3831,P12758,PYNP2r
818,b1007;b1012,P75893;P75898,PYROX
819,b3029,P0ADU2,QMO2;QMO3
820,b1692,P0A6D5,QUINDH;QUINDHyi;SHK3Dr
821,b0750,P11458,QULNS
822,b4094,P16690,R15BPK
823,b0415,P61714,RBFSa
824,b1662,P0AFU8,RBFSb
825,b3752,P0A9J6,RBK
826,b0063,P08204,RBK_L1;XYLK;XYLK2
827,b0061,P08203,RBP4E
828,b4198,P39306,RBP4E
829,b3583,P37680,RBP4E
830,b1394,P77467,REPHACCOAI
831,b3629,P27126,RHAT1
832,b2687,P45578,RHCCE
833,b2247,P77215,RHMND
834,b3904,P32171,RMK
835,b3902,P32169,RMPA
836,b2234;b2235;b2582,P00452;P69924;P0AGG4,RNDR1;RNDR2;RNDR3;RNDR4
837,b2234;b2235;b3781,P00452;P69924;P0AA25,RNDR1;RNDR2;RNDR3;RNDR4
838,b1064;b2675;b2676,P0AC59;P39452;P37146,RNDR1b;RNDR2b;RNDR3b;RNDR4b
839,b2675;b2676;b3610,P39452;P37146;P0AC62,RNDR1b;RNDR2b;RNDR3b;RNDR4b
840,b0849;b2675;b2676,P68688;P39452;P37146,RNDR1b;RNDR2b;RNDR3b;RNDR4b
841,b1654;b2675;b2676,P0AC69;P39452;P37146,RNDR1b;RNDR2b;RNDR3b;RNDR4b
842,b0684;b3924;b4237;b4238,P61949;P28861;P0A9N8;P28903,RNTR1c2;RNTR2c2;RNTR3c2;RNTR4c2
843,b2895;b3924;b4237;b4238,P0ABY4;P28861;P0A9N8;P28903,RNTR1c2;RNTR2c2;RNTR3c2;RNTR4c2
844,b0684;b4238,P61949;P28903,RNTR1c2;RNTR2c2;RNTR3c2;RNTR4c2
845,b2895;b4238,P0ABY4;P28903,RNTR1c2;RNTR2c2;RNTR3c2;RNTR4c2
846,b3386,P0AG07,RPE
847,b2914,P0A7Z0,RPI
848,b4095,P16689,RPNTPH
849,b0638,P52086,RZ5PP
850,b1679;b1680;b1681;b1682;b1683,P76194;P77444;P77689;P77499;P77522,S2FE2SR;S2FE2SS;S2FE2SS2
851,b1681;b1682;b1683;b1684,P77689;P77499;P77522;P77667,S2FE2ST;S4FE4ST
852,b1681;b1682;b1683,P77689;P77499;P77522,S4FE4SR
853,b0222,P63224,S7PI
854,b1745,P76216,SADH
855,b2751;b2752,P23845;P21156,SADT2
856,b2705,P05707,SBTPD
857,b1679;b1680,P76194;P77444,SCYSDS
858,b2472,P0AED7,SDPDS
859,b1764,P16456,SELNPS
860,b2264,P17109,SEPHCHCS
861,b0586,P11454,SERASr
862,b3607,P0A9D4,SERAT
863,b2366,P00926,SERD_D
864,b4471,P42630,SERD_L
865,b1814,P16095,SERD_L
866,b2797,P30744,SERD_L
867,b3117,P0AGF6,SERD_L;THRD_L
868,b2154,P33018,SFGTHi
869,b0355,P51025,SFGTHi
870,b1744,P76215,SGDS
871,b1746,P76217,SGSAD
872,b2263,P37355,SHCHCS3
873,b3368,P0AEA8,SHCHD2;SHCHF;UPP3MT
874,b2660,P37339,SHGO
875,b3281,P15770,SHK3Dr
876,b3390,P0A6D7,SHKK
877,b0388,P0A6E1,SHKK
878,b3939,P00935,SHSL1
879,b1584,P0A951,SPMDAT1;SPMDAT2
880,b3908,P00448,SPODM
881,b1656,P0AGD3,SPODM
882,b1646,P0AGD1,SPODMpp
883,b3878,P32138,SQGH
884,b3880,P32140,SQVOSI
885,b1525,P76149,SSALx;SSALy
886,b2661,P25526,SSALy
887,b2260,P37353,SUCBZL
888,b2261,P29208,SUCBZS
889,b0721;b0722;b0723;b0724,P69054;P0AC44;P0AC41;P07014,SUCDi
890,b0728;b0729,P0A836;P0AGE9,SUCOAS
891,b1521,P0A6L7,TAGURr
892,b0008,P0A870,TALA
893,b2464,P0A867,TALA
894,b3061;b3062,P05847;P0AC35,TARTD
895,b0368,P37610,TAUDO
896,b3790,P27832,TDPADGAT
897,b3791,P27833,TDPAGTA
898,b2038,P37745,TDPDRE
899,b2040,P37760,TDPDRR
900,b3788,P27830,TDPGDH
901,b2041,P37759,TDPGDH
902,b0915,P27300,TDSK
903,b1430,P25397,TEO2M
904,b3132;b3137,P0C8K0;P0AB74,TGBPA
905,b2095;b2096,P0C8J8;P0C8J6,TGBPA
906,b1602;b1603,P0AB67;P07001,THD2pp
907,b0166,P0A9D8,THDPS
908,b2480;b3781,P0AE52;P0AA25,THIORDXi
909,b2480;b2582,P0AE52;P0AGG4,THIORDXi
910,b3616,P07913,THRD
911,b3589,P37686,THRD
912,b3772,P04968,THRD_L
913,b0004,P00934,THRS
914,b0423;b2530;b3990;b3992;b4407,P77718;P0A6B7;P30140;P30138;O32583,THZPSN3
915,b2935,P27302,TKT1;TKT2
916,b2465,P33570,TKT1;TKT2
917,b0996;b0997,P33226;P33225,TMAOR1pp;TMAOR2pp
918,b2827,P0A884,TMDS
919,b1106,P75948,TMK
920,b0417,P0AGG0,TMPK
921,b3993,P30137,TMPPP
922,b3919,P0A858,TPI
923,b0613,P77231,TPRDCOAS
924,b0888;b3781,P0A9P4;P0AA25,TRDR
925,b0888;b2582,P0A9P4;P0AGG4,TRDR
926,b4239,P28904,TRE6PH
927,b1897,P31678,TRE6PP
928,b1896,P31677,TRE6PS
929,b3519,P62601,TREH
930,b1197,P13482,TREHpp
931,b1260;b1261,P0A877;P0A879,TRPS1;TRPS2;TRPS3
932,b0509,P77161,TRSARr
933,b3125,P0ABQ2,TRSARr
934,b3991,P30139,TYRL
935,b0179,P21645,U23GAAT
936,b0085,P22188,UAAGDS
937,b3787,P27829,UACMAMO
938,b3786,P27828,UAG2E
939,b0181;b1094,P0A722;P0A6A8,UAGAAT
940,b3189,P0A749,UAGCVT
941,b0090,P17443,UAGPT3
942,b0088,P14900,UAMAGS
943,b0091,P17952,UAMAS
944,b3972,P08373,UAPGR
945,b0841,P75806,UDCPDP;UDCPDPpp
946,b3057,P60932,UDCPDP;UDCPDPpp
947,b0174,P60472,UDCPDPS
948,b0759,P09147,UDPG4E
949,b2036,P37747,UDPGALM
950,b2028,P76373,UDPGD
951,b2255,P77398,UDPGDC;ULA4NFT
952,b2047,P71241,UDPGPT
953,b2253,P77690,UDPKAAT
954,b0515,P75713,UGCIAMH
955,b0758,P09148,UGLT
956,b0505,P77731,UGLYCH
957,b0086,P11880,UGMDDS
958,b0096,P0A725,UHGADA
959,b4233,P37773,UM3PL;UM4PL
960,b0171,P0A7E9,UMPK
961,b2256,P76472,UPLA4FNF
962,b2254,P77757,UPLA4FNT
963,b3804,P09126,UPP3S
964,b3997,P29680,UPPDC1
965,b2498,P0A8F0,UPPRT
966,b1011,P75897,URACPAH
967,b0517,P77555,URDGLYCD
968,b0524,P43341,USHD
969,b3572,P09053,VPAMTr
970,b4197,P39305,X5PL3E
971,b3582,P37679,X5PL3E
972,b3656,P31434,XYHDL
973,b3565,P00944,XYLI1;XYLI2
974,b2165,P33025,YUMPS
