,gene_group,associated_uniprot_IDs,associated_reactions
55,b3845,P21151,ACACT1r;ACACT2r;ACACT3r;ACACT4r;ACACT5r;ACACT6r;ACACT7r;ACACT8r
56,b0351,P77580,ACALD
57,b1241,P0A9Q7,ACALD;ALCD19;ALCD2x
58,b1463,P77567,ACANTHAT
59,b1993,P0AE76,ACBIPGT;ADOCBIK
60,b0185;b2316;b3255;b3256,P0ABD5;P0A9Q5;P0ABD8;P24182,ACCOAC
61,b4069,P27550,ACCOAL;ACS
62,b0335,P77495,ACCOAL
63,b1119,P75959,ACGAMK
64,b3784,P0AC78,ACGAMT
65,b3959,P0A6C8,ACGK
66,b2818,P0A6C5,ACGS
67,b3670;b3671,P0ADF8;P08142,ACHBS;ACLS
68,b0077;b0078,P00893;P00894,ACHBS;ACLS
69,b2296,P0A6A3,ACKr
70,b1849,P33221,ACKr;GART
71,b3115,P11868,ACKr;PPAKr
72,b2428,P76535,ACM6PH
73,b3794,P27836,ACMAMUT
74,b3225,P0A6L4,ACNML
75,b0221,Q47146,ACOAD1f;ACOAD2f;ACOAD3f;ACOAD4f;ACOAD5f;ACOAD6f;ACOAD7f;ACOAD8f
76,b1695,P0A9U8,ACOAD1fr
77,b1091;b1094,P0A6R0;P0A6A8,ACOATA
78,b3957,P23908,ACODA
79,s0001,None,ACONIs;AOBUTDs;ATPHs;CBMD;DATPHs;DHGLYH;DHPTDCs2;FALGTHLs;FESD1s;FESD2s;G5SADs;GTPHs;METOX1s;METOX2s;MTHTHFSs;NADHHR;NADHHS;NADPHHR;NADPHHS;OMCDC
80,b1519,P76145,ACONMT
81,b0118,P36683,ACONTa;ACONTb;MICITDr
82,b1276,P25516,ACONTa;ACONTb
83,b1748,P77581,ACOTA;SDPTA;SOTA
84,b3359,P18335,ACOTA;SDPTA
85,b2371,P76518,ACOXT
86,b3812,P0ADP0,ACP1_FMN;PMDPHT
87,b0844,P75809,ACP1_FMN;PMDPHT
88,b1090;b1094,P27247;P0A6A8,ACPPAT120;ACPPAT140;ACPPAT141;ACPPAT160;ACPPAT161;ACPPAT180;ACPPAT181
89,b2563,P24224,ACPS1
90,b3475,P37623,ACPS1
91,b1623,P22333,ADA;DADA
92,b1096,P28305,ADCL;CHRPL
93,b4039,P26602,ADCL;CHRPL
94,b1812;b3360,P05041;P00903,ADCS
95,b3665,P31441,ADD
96,b0474,P69441,ADK1;ADK3;ADK4;ADNK1;DADK;NDPK1;NDPK2;NDPK3;NDPK4;NDPK5;NDPK6;NDPK7;NDPK8
97,b0120,P0A7F6,ADMDC
98,b3806,P00936,ADNCYC
99,b0030,P22564,ADNUC;CYTDH;INSH;URIH;XTSNH
100,b1992,P36561,ADOCBLS
101,b3397,P45799,ADPRDP
102,b3034,Q93K97,ADPRDP
103,b0469,P69503,ADPT
104,b2750,P0A6J1,ADSK
105,b1131,P0AB89,ADSL1r;ADSL2r
106,b4177,P0A7D4,ADSS
107,b0677,P0AF18,AGDC
108,b0110,P13016,AGM3PA;AGM4PA;AM3PA;AM4PA
109,b4169,P26365,AGM3PApp;AGM4PApp
110,b2435,P36548,AGM3PApp;AGM4PApp
111,b2817,P63883,AGM3PApp;AGM4PApp
