BIGG,Fingerprint
26dap_LL,0000000000000011000000000010000000000000000000000001100000000100000000000101000001000010000000100000000000001000100000000000101001000000000000100000100000001001001000000000000000000000000000010000001010000000010000000000001010000000000000001100001000000000100000000000010000000001000010000100000000000001000000000001000000000000010000011000000000000000000010000000000000100000000000000100000000000000000000000000000100000000000000000010000100000000010000000000001000001000000000000000010000000000000100000000000000000000001001000000010000000000000000000000000000101001100000000000000000000000000000000000000000000000000000010110001000001000000000010010000010000000000000000000000100000000000000000000000010000100000000000000000000100100000000000000100010000000000001100000010000000110010001000101000000010000010000010000000000000000000000000000011001000000000000000000000000011100000100000100000000000001100000000000000000000000010000000001000010000000000001010000000000000001000000000000000001000000000000000000010000001001
26dap__M,0000000000000011000000000010000000000000000000000001100000000100000000000101000001000010000000100000000000001000100000000000101001000000000000100000100000001001001000000000000000000000000000010000001010000000010000000000001010000000000000001100001000000000100000000000010000000001000010000100000000000001000000000001000000000000010000011000000000000000000010000000000000100000000000000100000000000000000000000000000100000000000000000010000100000000010000000000001000001000000000000000010000000000000100000000000000000000001001000000010000000000000000000000000000101001100000000000000000000000000000000000000000000000000000010110001000001000000000010010000010000000000000000000000100000000000000000000000010000100000000000000000000100100000000000000100010000000000001100000010000000110010001000101000000010000010000010000000000000000000000000000011001000000000000000000000000011100000100000100000000000001100000000000000000000000010000000001000010000000000001010000000000000001000000000000000001000000000000000000010000001001
2ahbut,0000000000000000000000000000000000000000010000010001000110000101000010001000010000000000010010100100100000100000010010000010000001100000100001000000100100001001001000000000010010000000010000110000001010000000011000100010001010010100001000010000000010000000000011000001000000000100001010000000010000000100000000000011000010100000000000101001010000000000100100000000001110000100000001001001000000000011000000000000000001100000000000000000000010001000010000000001100000000000000000000000000000110000100010000000000000000000000000101000000000000000000000001000000000100000100000100000110000010000000000000000001000001010000000110000000000000000100100010010000000000100000000000010000110000000000000000000001011000101000000000000000000001100000000000000100010100000001000100000000000000000000001000111100000010000010000000010000000000001000010010000000101001001000000000000010000010000011100000000010000101001000010001100010000100010011110000000010000110001000000000000000000000010000000000000001001000001100000000000001000010010
2amsa,0000000000000001000000000000000000000000000000000001000000010000000000000000010001000000000010100000000000000000100000000000101001000000000000100000000000000001000000000000000000000000000000000000000010000000011000000000000000000000000000001100000000000000100000000000000000001000000010000000000000000000000000000001000000000000000000001000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001000000000000000000000000000001000000000000000000000000000000000000101000001000000000000000000000000000000000000000000010000000010000001000000000000000000000000010000000000000000000000100000000000000000000000010000100000000000000000000000100000000000000100010000000000000100000000000000000000001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000100000100000000010000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000001000000000000000000001000000001
2aobut,0000000000000001100000000010000000000000000000000001000000010101000000000001010001000000000010100100000000000000100000000001101001100000000000100000000000000001000000000000000000000000000000010000000010000000011000000000001010000000000000001100000000000000100000000000000000001001000010000000000000000000000000000001000000000000000000011000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000010000000000000010000000000000000000000000000000000010000010001000000000000000000000000000001100000000000000001000000000000000000101000101000000000100000000000000000000000000000000010000000110000001000001000000000010000100010000000000000000000000100000001000000000000000010000100000000000000000000000100000000000000100010000000000000100000010000000100000001000001000000000000010000000000000000000000000000000000000001000000000000000000000000010100000100000000010000000001100000000100000000000000010000000000000000000000000000000000000000000000000000000000000001000000000000100000001000000001
2cpr5p,0111100000100101000011011110001000001100111100100011011010100101111000110001110011011001010111110111011111000010100000110000111001101101111100100100111001011011010100110010111001001000000111111111011010010110010100110011111111110101111100000000001101001111011011010101010110001101010111000000011100011010110001000111110001000010111100101111011011111101001010110111100110111001110101110101001110100111110111010101110100101010110000101111101001001001010000010100100100011111100010000101100000111100000101101010110001010010011001100100110100000100001101001111110000100000100101001001110000001000100011100100101110000010010000110100100100111011000100111001111111001110001001010011010101011101101101011010000011000110111001100001010010010011100100011001101101101010101111110001011100010111111011101101101111010001011111100011000010110011111000010011010010110011101001011100110011111111011111010001110100000011100110010110110001001101011101011000100011010010100100011010011011011111010100000010111101100100000000100010010000111001
2dda7p,1100000000000011000011011000101000001100000110000001001010000100110000100010110001000000010110100110101001000110000000100000011001100111100000000000100000001001000101000010101000010000000000110000001010010000010000000001011111000101000000000010000000100000010000100000010111000100000110000100010000000001000000001001110001001010110000101010000001011110001000101001100100101001010001010000000111100111010000000001010100001010010000000001100100101001001000010000100101010100100000000110000000010111001000100010000000000010100000100000010100001100010001001011010000100000100010001001000011000000000000100100101101000001010001110010100100000101010100010000000000010110001001000000010100011100100100000000000011000101000000000000000001110000000000001001100110101100001011101000111000010101011101100101100100010000011000110001010001101110100000010000011001100001100000000000010011111000001100000101000100001011100100000100100000000010110000010000100010010000100011000100000000001000000100000010011001101100000000100010100010001100
2ddg6p,1100000000000011000011011000001000001100000100000001001010000100110000100000010001000000010110100110101001000110000000100000011001100101100000000000100000000001000101000010101000010000000000110000001010010010010000000001011111000101000000000000000000100000010000000000010110000100000110000100010000000001000000000001110001001010110000001010000001011110001000101001100100101001010001010000000110100111010000000001010100001010010000000001100100001001001000010000100100010100100000000000000000010110001000100010000000000010100000100000010100001100010001001011010000100000100010001001000011000000000000100100101100000001010001110000100100000101010100010000000000010110001001000000010100011100100100000000000011000101000000000000000001110000000000001001100110101000001011100000111000010101011001100101100100010000011000110001010001101010100000010000010001100001000000000000010010111000001100000001000000001011100100000100100000000010110000000000100010010000100001000100000000001000000100000010011001101100000000100010100010001100
2dglc,1000010000001010001010011001001000000001001100000001000010010000000000000100100000001010000110100100011001100100011100000100010000000010101100001100101000001001000000000000000001110101000001100000001100100001010000000100011001000101000000000010000011010010000000001000000100101100001011101001000000100000000010001001110000000000100000011001000000000010000010000000000100001000000000010100000101100000100000011000100000100001000000010000100000101000010010001000001101000000010100000010000000110001000010100100001001110000000000010110101101000010010101000000001100100000101001100001000110000010000010000100000000010101000001110000000100010000100000000000100001000010000100000010000000100000010000000000000110001100000001101000000000010000000000000001101000100010000010000000010000100001010101100100010100010010000001000011010100010010001001000000010000000100100100000000000000011010001000100000000000000011000100000000010000100000111010011110000010000000010011000000000001010000000001010110101000000000111000000001100000010000
2dh3dgal6p,1100000000000011000011011000001000001100000100000001001010000100110000100000010001000000010110100110101001000110000000100000011001100101100000000000100000000001000101000010101000010000000000110000001010010010010000000001011111000101000000000000000000100000010000000000010110000100000110000100010000000001000000000001110001001010110000001010000001011110001000101001100100101001010001010000000110100111010000000001010100001010010000000001100100001001001000010000100100010100100000000000000000010110001000100010000000000010100000100000010100001100010001001011010000100000100010001001000011000000000000100100101100000001010001110000100100000101010100010000000000010110001001000000010100011100100100000000000011000101000000000000000001110000000000001001100110101000001011100000111000010101011001100101100100010000011000110001010001101010100000010000010001100001000000000000010010111000001100000001000000001011100100000100100000000010110000000000100010010000100001000100000000001000000100000010011001101100000000100010100010001100
2dh3dgal,1000000000000011000000011000000000000000000100000001000010000100100000000000010000000000010110100100100001000100000000000000010001100000100000000000100000000001000001000000000000010000000000110000001010000000010000000001011011000100000000000000000000100000010000000000010100000100000010000100010000000001000000000001110000001000110000001010000000010110000000001000000100101000010000000000000100100001000000000000010000001000000000000000100100001000001000000000000100000000000000000000000000010110001000100000000000000000100000100000010100001000010000001000010000100000100010001001000011000000000000100100100000000001010000110000000100000100010000000000000000010110000000000000010100000000100000000000000010000101000000000000000001110000000000000001100010100000001010100000100000000101000001100101000100010000010000010001010001101010000000000000010001000001000000000000000000111000001100000000000000001011100100000100100000000010110000000000000010010000000001000100000000000000000000000010001001001100000000000000100010001100
2dhp,0000000000000001000000010000000000000000000000000001100000000100010010000000010000000000010010110110001001001000000000000010000001100000010000000000000000001001000000000000010010001000010000010000000010000000010000000001001010010000000000000000000000000000100001000000000100000000101010000000010000000000000000001001000000000000000000001010000001010010000000000000000000000000000001000010000101000000100000010000000100000000000000000000000000000000000000100000000000000000000000000000000000010100000000000000000000000000100000101010000101001000000000001000010000100000100010001000000011100100000000100000100000000000010000110000110000000000010000000000000000010100010000000000010100000000000010000000000011000101000000000000000000000000000000000000100010000100000000100000000000000000000101000001000000010000010000000000000000000001000001000000000001000000000000000000000000010001001100000000000000101001000100000100000000000000011010000000000000110000000000000000000000000000000000010000000101001101000000000100100001000010
2doxg6p,1100010000001110101011011001101000101101001110000001011010010000010000100110100001001010000110100110011001100110011100100100011000000111101100001100101000001001000100000010101001110101000001100000001100110001010000010100011101000101000000000010000011010010000000101000000111101100001111101001010000101000100010001011110001000010100000011001000001011010001010100001100100001001000001010100000111110110110000011001100100100011010000010001100000101001010010011000101101010100110100000111000000110101000010100110001001110010000000010110101101000111010101000011001100100000101001101001000110000010000010000100001100010101000001110000100100010101100100010000100001000011001101000010001000111100010100000000000111101100000001101000000000010000000000001011111100101010000011001000011000110001011111100101110100010010001001100011011100010110101001010000011000100100100100000000010010011010001000100001000000000011000101000000110000100000111010011110100010010000111011000000000001011000000101010110111000100000111000100011100000010000
2dr1p,0100011000000010000011001011101000001100110110010000001010010000010010100010100001000010010110110110011001100000010100000100011000010111101100001000110000000001001100000111011000101101000001100001001101100000010000000000111101000100000100000010000110001010010000101000001111100100011111101001010000100100100111000001100101000001000000001100000001100000001010100010110101011001000001010100000110110110000000010000100101100111010000010001100000001001000011010001101100010000110100000101000000110100100000100110001001110010001100010110100100000011010101000010011000110000111001001001100010010000000110100100001000010100000000100000000101100000100100010000000001100011001101000000000100101000000100000000000111101100010001000000000000000000000100101011101100100000010011001000011000011000011111000101110100000001001101100011011000000110101100010001011000101000100000001000000000010010001000000101000000010001000101000000110001100100000010001010010011000000110000010000000001011000000101000100101110100100111100100010110010000000
2dr5p,0100010000000110100011001001001000101100010100000001011010010000010000100010100001000010000110100110001001100010000100100100011000000111101100001000100000000001000100000010101000100101000000100000001100010000010000010000011101000101000000000010000110010010000000001000000110100100000111101001010000101000100010000011110101000011000000001000000001011000001010100001100100011001000001010000000110110110010000011001100100100111010000010001100000001001000010010000101100010100110100000001000000110100000000100110001001110010000000010110100100000111010101000011001000100000101001001001000010000000000110000000001100010001000000100000100101000101100100010000000001000011001101000000001000111100000100000000000111101100000001000000000000000000000000001011111100101000000011000000011000010001011111000101110100000000001101100011011000000010101000010001010000101000000000000000010010010010001000000001000000000001000101000000110000100000000010001010100010010000111000000000000001011000000101000100111000100000111000100010100000000000
