BIGG,Fingerprint
fecrm,0110011100000010100000001111100001010010001101100001001000010001110011000011101011010110001010100000000010001101110100000011011100001000100011110000110111011001110100101010000010011000011010010100000010101111111100110010000010010101110110011010001101110001101100011000100000101011101010100000000000011011101100000000100011010100010000111001110001010000001100100000000010110010010000001100001000110000100010010110110001001100000000001111101111011110010000100000001001101001001101100000101100000011000011100011011101010010001100101000010100110010000111000011111011100110011011001000000001101011000000000101000101001001111010000100110101100010000010001110001010000100011000100000111101010100101001111001111010000100110010100011001000000000100001110001100000110110000000010011000000100101111111100100100001100000111000000110010011000010100010101000000000100011110010001101101000010101101111100000010100010101000110100110011111100001110001001111010000001001100001101001000001000001000001101010101001111000000110000100000100100011
feenter,0110110000101101100101101111110010101101101011001011110011101110000100101100010111010110101110100111011110000101111000001111101011100010001111101000111100010101011100110110011010110000101010010111110011101000111001101011101000010011011100001100101110001110000000110011110010101110110011100001011000100010010011000011101110111010111101011111000111110110000001000110111110000101111010111101000011100111011100111010110001000000100100111010111101111101000101101111111011000011110111101000001011111001110001001000010111010100011101010100001001011001110110100100011001111011101000001011100100000001110000011110111010001010111001011010011101111111000011001100100011010101010101100001000110100001000010001111000011001100110011001111001010010101010100001011101010111101110001100101000010001110100001111001100000101000110110000111000111100010001111011110010011000111010100001110010110000110100111101000111001000010000000000110010001000101011010111000000000110010111100110010001000011001111101111010100001000110011111001001011100101101
feoxam,0100001000000000100000001001000011000010001000000001000000000001110000000000001101010000100000000000000000000000100100010011011000000000000000100000110101000001100100100000000000001000000000010000000010000100111000100000000010011101000010010000011100000000000000001000100000101011001010000100000000000110000000001000000000100000010000001000010000000001000000000000000000000000000000000000001000100000100010000000110000000000001000001000000111000110000000000000001001001001001000000000101100000000000000001000001101010000000000000000000000010000000010000000101010000000000001000000000000100000000000000001000001000001001000000000010000000010010000000000001000000000001000000000100100000000000001100000100000000100000010100011001000000000000000000001100000010000000000000010000000100101010001000100000001100000010000000000000010000010110010001000000000100000100010000000000000010001000100100000010000000001000000000000010000100001000000000011000000001000100000100000000001000001000001000010000001100000001100000000000100100001
fgam,0110111000111111101011011011101011111100001111010001011011011101110011100010100101000000010111110110001111000011100000101111011000101111101011101101110001101011010101101010111000101001011000111101011100010100111001110010011101100101000110000010000000010000100101101000100111111101010110111001010001001100101110011011110101010111110101101011010101111010011001110001100100111111100001111000001111111110111000001011110100101011011001011011101010101001001001111001111101011101111100110100000111110101100010100010001111110111001101111010010100100110011111101011111000110101100001001001000010000010010111000000101100101011101100011011111100000111000100110111101101000011111001110101011100011101100100110010101011111101000100111011011010110001000100011011101110111010000011011101111000011101111101100101100101100010111100110011011001100110100100011101011010101001100000011000111010111110111101100011011000111011000101001101110101110101110010111110100011010110111011100100010101001111100101111001111011110011000001110111100100110011
fmnh2,1111110111111111011111111110111110101101100110111011111111111100111111111010111111111011110111111111111111011110111011110111111100111111111010111101111111111011111111111111111001111111011111111111011111011110111111111101111111111111111111111111101111111111111111111010101111111111111111101110111011111111110111111111111111110110011111111111111011011011111100111101111111111111110111111101111111111111111011101011111111011111111111111011111101101111111110111111110111111111111011111111110011111111111111111111111111001110111101011111001110101111111111111111111110111101111101101011111110111111111110111111011111101110111110111110111111110111111111111111111111101111111011111111011111111111011110011111101111111110111111011101111111111111111100111111101111101111111111011110111111011111111101101111111101111111111111101111111110011111111011111111111111110111111110111101111111111111111111001111111011111111111111111111110110011000011111111111111111111111111111011011111101001011111111110111111111110110111111111011111001111111
fmn,1111111111011111111011111011111110111111100110111111111111100111110111111111110111111111101111111111111111111111111111111111111110111111111111100011101111111111111110110111111111111111110011110111011111111111010011111111111111100101110111111111111111111111101110110011011111011111111111111011111111111101111101011111111011101111111111111110111111111111111111111111110111111111111011111111011111101110111111111101110111111111111111111111111011111111011111011101111111111111110111111110011111111101111011111011111011111111111111001110101111111111110011110111111110111111111111111111111110101111111111100101111111111101111011101111111111111111101100110110111101111111101101111111101110111101110111111111111111011111110111110111111011110111111111111111111111111111111111001110011110111111110111011111100111111111111111111101011111111110111111111110111111111111111111111110111011111111111111111111111111111111111111111111111011101111111111011111111111111011111111011111111111111100111111111111111111101111111110110111111111100111
forcoa,1111111111111111101111111011111111111110111111110011111011111111111111111111111011111111011110111111111011111111101111111111111110111111111111111111111101111101111111111111111101111101110111111111111111111110111001110111111111111101111101001111111111111011111111111111111111111111111110111011111111111100101110111111111101111111111111101111110111111111101111111111111110111111111111111101111111110111111111011001111111111111111011100111101111111101111111111111111111011111111100111111101111111111111111111011111101111111100111011111101101111111111111011011111010111111111101111111111011100111111111111111101111011011101111111111111111111111111101111111111101110111111111111011111111011111110111111111111111111111111011101111111111111111111001111111101111111111111111111111111110111111111101110101111111111111111110111111111111111110111101111111111101111111111111111111111011111111011111111111111010111111011110111111111110111111011111111111111111111111111111110111111111111101111111111111111111111011111110111111111111111111
for,0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
fprica,1111111111111111101111111111111011101110111111111111011011111110011110111111111111011111111111111111011111111111111111111111111111111111111111101101111111101111011111100111111101111101111111111111011011111111011110110111011101011111110111011111100111111011011110101010111111111111011110111101111000111111101111111111111111111111111111111110110111011111111111111111110110111101101011111001111111110111110111101011111111100111111110101111111001111101111111111101101101111111111100111101101111111111111111111011111111111110110110011111011111111111011111111011111011111111101101111001111010100111111111111110001111110111011101011111101111110111111110010110111111110111111001111110111111011111111111100111110111101111110011101011101111111111110011111111111101101111101011101011111111111111111101110101111111101101111110110011111101111111111111111111111000111111101111110111111111111111001111011011010011111111011111101101111001110111011011111110101111110111111111111111111101111111010111010111111111111111111111111111111101111111
frdp,0100000010001110000111001000001000001100100001000010000010100000010010110001000001010000000000101000000100001000000000110010000000000110011100000000100000000001010010000110001000101010000000000000001001000100001000100001011101101001000000000001110101000000000010001000001011110101000110000000000100100000000110000001000000100000000000001001000001000000100000000100000001000000001000101000001011001010001010000000001110100001011010000000000001000001000000011001000000010000101000100000000000100000100011000110100000000010000001000010100000110000000001001000100001100000000100000000000100001000000001100000000101010000010000110000000100100100000100010000000101000110000001000100000100010100000100100010110111000100000000100100000000010000010100000000100101000000110000100001001110011000100001000100100100001000001100100111000000110010100100010000000100110000000100000000001000010000000000000001001000010011000010000010100000000000000000100100010000010010100000000101000010011000010010100000000000001000000101000000011000000010
frulys,1000000000000011000010001011000000000000001100000001100010000100100000000101110001010010010110100001000001001100100001000001111001100010110110100000110011010001000001101000100000101000001000110100001011000100110000100001001011100100001000001110101001100000110010000001110100011101000010100101010000000001000000001001110000010000010000111010110000000100000010001000000100101000000000000100000101100001100010001000100100101001000000000011101110101000011000000100101101001011000000000110010000010001100100100000010001010000001001100000010100000000000010001000001000101101100010001000000010000000010000100000000000000011010001110100011100001001000000011011000010000110001000010000000100000100100000110010000010010100000000110010100010110100000000000001100010100000001010100010010000000111010111100101000101010000010000011011010000111010001000011000010001000001100000101000001000111110001100000000000000001001100010000100000000111000110100010001000010011000000011110000010000000101000000001000001001000010000000100000110010011001
fruur,1000110000001011011010111101001000100001011110110011100010010100101010000001110001000011100110100101001001100100110100000110010001001111111100101100100010001111010001010000100001110111000001110100001111000000110010000100011111001110001101100110000110100010010000011001000100110100011011101101110000100101000010001001111111001001100000101011011000010110010110100011100100111101010010010110100101100100010000011000101100100101000001011000100100111000000110011100101101000000110101000010000000110111000110100100001011110001010000010110111100000010010101011000001100100000101011100001000010001000100111110000000000010101000001110100001101000000100110000000100001000010000111001000001110100000100000001110000110101100000001001100000011110000110110000001101110111010010010110101010001001101001111100101110100010000010001011011111000011010001011100001010001001001100000010000000000111010011100000000000000001011100010001100110100110100110010111110000010001000010011001111010101010010101001110110101001001000111000000001100010011000
fru,1000110000001010011010111001001000000001011100110000100010010000001000000001100000000010000110100100001001100100010100000110010000001110101100001000100010001011010000000000100001110101000001100000001100000000110000000100011001001100000101000010000110000010010000011000000100100100011011101001100000100000000010001001110110000001100000001000001000010010010010000001000100011101000000010110100101100100010000011000101100100101000000011000100000101000000110001100101101000000110100000010000000110001000010100100001001110000010000010110111100000010010101000000001100100000101001000001000010000000100110010000000000010101000001100000001101000000100110000000100001000010000101001000001000100000000000001000000110101100000001001000000000010000100110000001101100110010000010100000010001000001001101100100010100010000000001011011110000000010001011100001010000001001100000000000000000011010001000000000000000000011000010000000010000110000110010111110000010000000010011001001000101010000100001110110101000000000111000000001100000000000
fum,0000000000000010000000000000000000000000000000001001000000000000000000000000000001000000000000000000000000000000000000010000000001000000000000000000000000000001000011001010000000000000000000000100000000000000000000000000000000000000000000100000000000001000000010000000000000000000000010000000000000000000000010000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000001000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000100000000010000000000000000000100000000000000000000000100010000000100000100000000100000000000000000000000000000000010000000010000000000000000000000000000000001000000000000000000000010000000100000000010000000100000000000000000000000000010000000000000000000000000000000000000000000000000000000000000001000000000000010001000000000000
fusa,0000101110100111100110111010101100110100011111001111100011110101101111001101000011110011110110101111101110011111110000011100011111000011011110110001100001111001011110001110011001011110010001111100001111101010010111000101011111000111001110100011110000001111100010111101110001110100110111110111100110101101110110001011111010001010110100101111010101011101100110110110000101101100000101000010001101111000001010000100000011010001001011110111100101011011110111110000000100111111111101110000101000010001111111010110001001001111101010011001100011110110111100011111111101110010100010010010010111011001100110000111001100110111011111110110110101111100101111011000110111110010110101011110100100001111001001101010100111001111001001111100101000111000010101101101101010000101100011110011010111111100101001101111111001111010010111110010011000000100110110100001010001101001110100110101101001011100111100101110110111101011100010010110111110100111011111001110111010011101001001000001001101011100011111111110010111000101101111010011111001001111
g1p,1100011000001010001011011011101000001101101110000001111011010000010010100111110001001010010110110110011001100111011100100110011000010111101100001100111000001011001100010111111001111101000001100001001101110101010000000100111101000101000100000010000011011010010000111000001111101101011111101001111000100100100111101001110001000011100000011101000001111010001010100011110101001001000001010110100111110110110000011001100101100011010000011001100000101001010011011101101101010100110100000111000000110101100010100110001001110010001100010110101101010111010101000011011100110000111001101101100110010010100010110100001101010101000001111000100100110001100100010000100001100011001101000010101100111100010101000000000111101100010001101000000000010000100100101011101100111010000111001000011000111001011111100101110110010011001101110011011100110110101101010000011000110101100100001000010110011010001000100101000000010011001101000000110001100100111010011110110011010000110011111000000001011000000101110110111110100100111101100011110010010000
g3pc,0100000100000001000111000100001000011100000000000001001010000000010000100000000001000000001000100100001000000110100000100000011000000100000000100000000100100001000100100011101000000001000010000010000000110001010001000000010100000100010000000001000000001000000000101000000000000100000110000000011010000000000000000001100001100110000000000010000000010000010000100001100100001001000000000000000010000010010000000001100100000010011000000001000001001011000000010000101000000000000000000000000010101100000000000010001000110010000001000000000100000100000001000100000000100000000000001000001000000000000000000100001100000010000001001000000100001001000100011000100100010010000001100000000000011100000100000000000011100100000000100000000000000000010000010100100100101000000001001000001100110011011001100001100100100000001010100000010000000010100000110000000000100100000000000000110010100000000010000011001100000000000000010000110000000000000000100000000001000000101000100000000000001100000100000000011000000000001000000000000000000001
g3pe,0100000000000001000111000100001000011100000000000001001010000000010000100000000001000000001000100100001000000110100000100000011000000100000000100000000000100001000100000010101000000001000010000000000000010001010000000000010100000100010000000001000000001000000000001000000000000100000110000000011000000000000000000001100001100110000000000000000000010000000000100001100100001001000000000000000010000010010000000001000100000010010000000001000000001001000000010000101000000000000000000000000000001100000000000010001000000010000001000000000100000100000001000100000000100000000000001000001000000000000000000100001100000010000001001000000100001001000100010000100100010010000001100000000000011100000100000000000011000100000000100000000000000000010000010000100100101000000001001000001100010011011001100001100100000000001000100000010000000010100000110000000000100100000000000000010010000000000000000001000100000000000000000000100000000000000000100000000001000000101000000000000000001100000000000000011000000000001000000000000000000001
g3pg,0100000000000000000011000000001000011100000000000001001010000000010000100000000001000000000000100100001000000110000000100000011000000100000000000000000000000001000100000010101000000001000010000000000000010001010000000000010100000100010000000001000000001000000000001000000000000100000110000000010000000000000000000001100001100110000000000000000000010000000000100001100100001001000000000000000010000010010000000001000100000010010000000001000000001001000000010000101000000000000000000000000000000100000000000010001000000010000000000000000100000100000001000100000000100000000000001000000000000000000000000100001100000010000001000000000100000001000100010000100100000010000001000000000000011100000000000000000011000100000000000000000000000000010000000000100100101000000001000000001100010011010001100001100100000000001000100000000000000010100000110000000000100100000000000000010010000000000000000001000100000000000000000000100000000000000000100000000001000000101000000000000000001100000000000000011000000000001000000000000000000000
g3pi,1110000000000011000011001000101001011100001111000001101011010000010100111010100001000000000110100110101001000110000000101011011000100111100001001000100000100001000100001010101000011101000010100100001000010001010000000000011101000101010001000011000000001000001000101000000111000100000110000000011000000000100000001001110001101110000000000000000001011000001000100101100110011011000001010000000111110110011010000001000100010010010000000101100011101001010100010001101101010100100000000110000000010101000000100010001001000010000000010001000110000100010001000111000010100000100000001000000010000000100000000100001100000111000001000000100100000101100100010010100100000011001001000000001000011100000100010000000011000110000000000000000010010000011000001001101100101000100011001101011110011011011101100101100100010000001100100001010000000110100001110100111000100100100000001000010010011000001100000001000100000001000100100000100000000000000000110010100011010000101011001000000000001100000100010010011000100000001000100010101000000000
g3p,0100000000000000000011000000001000001100000000000001001010000010010000100000010001010000000010100000001000000010000000100000000000000100000000000000000000000001000100000010001000000000000000000000000010010000010000000000010100000100001000000000000000000000000000000000000100000100000110000000010000000000000000000001000001000000000100101000010000010000000000000001100100000001000000000000000010000010010000000001000100100000010100000001000000001000000000010000000000000000000000000000000000000000000000000010000000000010000000000000000100000100000001001000000000100000000000010000000000000000000000000000000001000000000000000000000000000001000100010100000000000010000001000000000000010010000000000000000011000100000000000000000001000000000000000000100100101000000001000000001000000001000001000000110000000000011000100010000000000010100000010000000000100000000000000001010010000000000100000001000000000000000000000000100000000000000000000000000000000000100000000000000000001000000000000000011001000000000000000000000000010110
g6p,1100010000001110101011011001101000101101001110000001111011010000010000100111110001001010000110100110011001100110011100100110011000000111101100001100101000001011000100000010111001110101000001100000001100110001010000010100011101000101000000000010000011010010000000111000000111101100001111101001110000101000100010101011110001000011100000011001000001011010001010100001100100001001000001010110100111110110110000011001100100100011010000011001100000101001010010011100101101010100110100000111000000110101000010100110001001110010000000010110101101000111010101000011001100100000101001101001000110000010100010010100001100010101000001110000100100010101100100010000100001000011001101000010001000111100010100000000000111101100000001101000000000010000100000001011111100111010000111001000011000110001011111100101110100010010001101110011011100010110101001010000011000100101100100000000010010011010001000100001000000000011000101000000110000100000111010011110100010010000111011101000000001011000000101110110111000100000111000100011100000010000
gal1p,1100011000001010001011011011101000001101101110000001111011010000010010100111110001001010010110110110011001100111011100100110011000010111101100001100111000001011001100010111111001111101000001100001001101110101010000000100111101000101000100000010000011011010010000111000001111101101011111101001111000100100100111101001110001000011100000011101000001111010001010100011110101001001000001010110100111110110110000011001100101100011010000011001100000101001010011011101101101010100110100000111000000110101100010100110001001110010001100010110101101010111010101000011011100110000111001101101100110010010100010110100001101010101000001111000100100110001100100010000100001100011001101000010101100111100010101000000000111101100010001101000000000010000100100101011101100111010000111001000011000111001011111100101110110010011001101110011011100110110101101010000011000110101100100001000010110011010001000100101000000010011001101000000110001100100111010011110110011010000110011111000000001011000000101110110111110100100111101100011110010010000
galctn__D,1000000000000011000010001100000000000000000100000001100010000100100000000000110000000000000110100001000001000100000000000000010001000010110000100100100000000001000000000000000000010010000000110100001011000000010000000000011011000110000000000010000000100000010000000001000100000100000010000100010000000001000000001001110000001000100000101010010000000100000000000000000100101000010000000000000101100000000000000000000000100000000000000000100100101000000000000000000101000000100000000010000000010101000000100000000000000001000000000000000100000000010000001000000000100000100010100001000010000000000000100000000000000001000001010000000100000000100000000000000000000010000000000000001100000000100000000000000010000100000001000000000001110000000000000001100010100000010010100000000000000101000111100101100100010000010000010011010000011010000000000000010001001000100000000000000000111000011100000000000000001001100000000100100000000000110000010000000010001000000011000100000000000010000000000010001001001000000000000000100010011000
galctn__L,1000000000000011000010001100000000000000000100000001100010000100100000000000110000000000000110100001000001000100000000000000010001000010110000100100100000000001000000000000000000010010000000110100001011000000010000000000011011000110000000000010000000100000010000000001000100000100000010000100010000000001000000001001110000001000100000101010010000000100000000000000000100101000010000000000000101100000000000000000000000100000000000000000100100101000000000000000000101000000100000000010000000010101000000100000000000000001000000000000000100000000010000001000000000100000100010100001000010000000000000100000000000000001000001010000000100000000100000000000000000000010000000000000001100000000100000000000000010000100000001000000000001110000000000000001100010100000010010100000000000000101000111100101100100010000010000010011010000011010000000000000010001001000100000000000000000111000011100000000000000001001100000000100100000000000110000010000000010001000000011000100000000000010000000000010001001001000000000000000100010011000
galctr__D,1000000000000011100010001100000000000000000100000001100010000100100000000000110000000000000110100001000001000100000000000000010001000010110000100100100000000001000000000000000000010010000000110100001011000000010000000000011011000110000000000010000000100000010000000001000100000100000010000100010000000001000000001001110000001000100000101010010000000100000000000000000100101000010000000000000101100000000000000000000000100000000000000000100100101000000000000000000101000000100000000010000000010101000000100000000000000001000000000000000100000000010000001000000000100000100010100001000010000000000000100000000000000001000001010000000100000000100000000000000000000010000000000000001100000000100000000000000010000100000001000000000001110000000000000001100010100000010010100000000000000101000111100101100100010000010000010011010000011010000000000000010001001000100000000000000000111000011100000000000000001001100000000100100000000000110000010000000010001000000011000100000000000010000000000010001001001000000000000000100010011000
galt1p,1100000000000010000011001000101000001100000110000001101010000000010000100010100001000000000110100010001001000110000000100000011000000111100000000000100000000001000100000010101000010000000000100000001000010000010000000000011101000101000000000010000000000000000000100000000111000100000110000000000000000000000000001001110001000010000000000000000001011000001000100001100100001001000001010000000011100110010000000001000100000010010000000001100000101001000000010000100101010100100000000110000000010101000000100010000000000010000000000000000100000100010001000011000000100000100000001000000010000000000000000000001100000001000001000000100100000001000100010000000000000010001001000000001000011100000100000000000011000100000000000000000000010000000000001001100100101000000011001000011000010001011101100101100100010000001100100001010000000110100000010000011000100000100000000000010010011000001000000001000000000001000100000000100000000000000000010000100010000000100011000000000000001000000100000010011000100000000000100010100000000000
galt,1000000000000010000010001000000000000000000100000000100010000000000000000000100000000000000110100000000001000100000000000000010000000010100000000000100000000001000000000000000000010000000000100000001000000000010000000000011001000100000000000010000000000000000000000000000100000100000010000000000000000000000000001001110000000000000000000000000000000000000000000000000100001000000000000000000001000000000000000000000000000000000000000000100000101000000000000000000101000000000000000010000000010001000000100000000000000000000000000000000100000000010000000000000000100000100000000000000010000000000000000000000000000001000001000000000100000000000000000000000000000010000000000000001000000000000000000000000010000100000000000000000000010000000000000001100000100000000010000000000000000001000101100100000100010000000000000001010000000010000000000000010000000000100000000000000000011000001000000000000000000001000000000000000000000000000000010000000010000000000011000000000000000000000000000010001000000000000000000000100000000000
galur,1000010000001011001010111101001000100001001110000011100011010100100010000101110001001010100110100101011001100100111100000110010001000111111110101100101000001111000001000000010001110111000001110100001111100001010010000100011111000111001000100010000011110010010000011001000100111100001011101101110000100101000010101001111011001001100000111011010000010110000110100010100100101101010010010110100101100000110000011000100000100001000001011000100100111000010010011100001101000000110101000010000000110111000110100100001011110001000000010110101101000010010101011000001100110000101011100011000110001010100011110100000000010101000001110100000100010000100000000000100001000010000110000010001110100000110000000110000110001100000001101100000011110000110000000001101010111010010110110101010000101101010111100101110100010010010001010011011100011010001001000000010001001101100100000000000000111010011100100000000000001011100100000100110100100100111010011110000010001000010011001110010001010010001001110110101001001000111000000001100010011000
gal_bD,1000010000001010001010011001001000000001001100000001100011010000000000000101110000001010000110100100011001100100011100000110010000000110101100001100101000001011000000000000010001110101000001100000001100100001010000000100011001000101000000000010000011010010000000011000000100101100001011101001100000100000000010101001110000000001100000011001000000010010000010000000000100001001000000010110100101100000110000011000100000100001000000011000100000101000010010001100001101000000010100000010000000110001000010100100001001110000000000010110101101000010010101000000001100100000101001100001000110000010100010010100000000010101000001110000000100010000100000000000100001000010000100000010001000100000010000000000000110001100000001101000000000010000100000000001101000110010000110000000010000100001010101100100010100010010000001010011010100010010001001000000010000000101100100000000000000011010001000100000000000000011000100000000010000100000111010011110000010000000010011001000000001010000000001110110101000000000111000000001100000010000
gal,1000010000001010001010011001001000000001001100000001100011010000000000000101110000001010000110100100011001100100011100000110010000000110101100001100101000001011000000000000010001110101000001100000001100100001010000000100011001000101000000000010000011010010000000011000000100101100001011101001100000100000000010101001110000000001100000011001000000010010000010000000000100001001000000010110100101100000110000011000100000100001000000011000100000101000010010001100001101000000010100000010000000110001000010100100001001110000000000010110101101000010010101000000001100100000101001100001000110000010100010010100000000010101000001110000000100010000100000000000100001000010000100000010001000100000010000000000000110001100000001101000000000010000100000000001101000110010000110000000010000100001010101100100010100010010000001010011010100010010001001000000010000000101100100000000000000011010001000100000000000000011000100000000010000100000111010011110000010000000010011001000000001010000000001110110101000000000111000000001100000010000
gam1p,1100011000111111011111011111101010001101101110100001001010011000010010100110100101001010011110110110011011101100111110100100011010010111101100111101111000101001001101000111011011111101100001101001101111110101110001110101111101100101010110000111100011011010110101101011111111101101011111101001010001100100100111001001110001100000110000111101110011100010011110100010110101101001110001111101100111111110101001011000100111100111010000010011100100101001010011011001111101011100110100000111010011110101100011100110001011111010001101010110101101010111010101010010011100110100111001101001100110011010000010101111001000010111001001111100001110111100110100010000100111110011001101100010000100111000010100010010100111101100010111101000001010110000000100111011101100100010000011001001011000111111011111100101110101010011001101100111011100010110101101010100011000100100100100001000000000011010001000100101000001010011101101000000110101101100111010011111010011010110110011110010000001011001000101010110111110100100111100100011110010010001
gam6p,1100011000111111101011011001101010101101001110000001011010011000010000100110100101001010001110110110011011101110111110100100011010000111101100101101101000001001000101000010111011111101100001101000101110110101010001110101011101100101010010000111000011010010100101101011010111101101001111101001010001101000100011001011110001100010110000111001010011111010011110100011110100101001110001110101100111111110111000011001100100100011010000010011100100101001010010011001111101011100110100000111010001110101000010100110001011110010001001010110101101000111010101010011001100100100101001101001000110011010000010001111001100010111001001110100101100010101110100010000100111000011001101000010001100111100010100010010100111101100000011101000000010110000000000001011111100101010000011001000011000110111011111100101110101010010001001100111011100010110101001010100011000100100100100000000010010011010001000100001000001000011101101000000110100100000111010011111100010010100111011010010000001011001000101010110111000100000111000100011100000010001
gam,1000011000111111001010011001001010000001001100000001000010011000000000000100100101001010001110110100011011101100111110100100010010000010101100101101101000001001000001000000010011111101100001101000101110110101010001110101011001100101010010000111000011010010100101001011010100101101001111101001000001100000000011001001110000100000110000111001010010100010010110000010010100101001110000110101100101111000101000011000100000100001000000010011100100101000010010001001011101001100010100000010010001110001000010100100001011110000001001010110101101000110010101010010001100100100101001100001000110011010000010001111001000010111001001110100001100010100110000000000100111000010000100000010000100101000010000010010100110001100000011101000000010110000000000000001101000100010000011000000010000100111010101100100010101010010000001000111010100010010001001010100010000000100100100000000000000011010001000100000000001000011101100000000010100100000111010011111000010000100010011010010000001010001000001010110101000000000111000100001100000010001
gar,0100111000111111101011011011101011111100001110010001011011011101110011100010100101000000000111110110001101000011100000101111011000001111101011101101110001101011000101100010111000101001011000111101011100010100111001110010011101100101000110000010000000010000100101101000100111111101010110111001010001001100101110011011110101000111110101101011010001111010011001110001100100111111100001111000001111111110111000001011110100101011011001011011101010101001001001011001111101011101111100110100000011110101100010100010001111110111001101110010010100000110011111101011111000110101100001001001000010000010010111000000101100101011101100011011111100000111000100110011101101000011111001110101001100011101100100110010101011111101000100111011010010110001000100011011101110111010000011011101111000011101111101100101100101100010111100110011011001100110100100011101011010101001100000011000111010111110111101100011011000111011000101001101110101110101110010111110100011010110111011100100010101001111100101111001111011110011000001110111100100110011
gbbtn,0000000000000000000000000001000000000000000000000001000000000100000000000000000001000000001010100000000000000000100000000000000001000000000000100000000100000001000000100000000000000000000000010000000010100010010000000000001010000000000000000000000000000000000000000000100000001001000010000000000010000100000000000001100000000001010000001000010000000000010000000000000000100000000000000000000000000000000000000000100000000000001000000000000000000010000000010000000000000000000000000000000000000000100000000000000000000000000000000000000000001000000000000000001010100000100000000000000000000000000000000000000000000000000000010000000000000000000000001000000000000000000000010010000100000000000000000000000011001100000000000000000000000000000000000000100010000000000000100000000000000100000001000000000001000001010000000000010000000000000000000000000001000000000000000000000000010000000110000000001000000001000000001000000000001000010000000000000000000000000000100000000000000101000000000000000001000000000000000000000000000001
gcald,0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000
gdpddman,1111111111101111101111111111111011111110110111110011111011111111111110111111111011111011111110111111011111111111111111111111111110111111111111111101111111111111011111110111111111111111110111111011111111111100111011110111111111111111111111101111110111111111111110111111011111111111111110101111111110111101111111101111111101101111101111101111110111111111101111111111111111111111101111111110111111110111111011111101111111101111111011111111111010111111111111111111111111111111110101111111111111111111111111111111101111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111110101111111111110101111111111111111111111100111011111101110111101111101111111111111111110111110111111111111110111011111111101110110011110111111111101111111011111111101111111110111111111111111101111111111101011111111111111101111111111111111111111101111111111111111111111111111111111111011111111110011111111110101111110111111111101111111111111111110111111111111111111111111101001111111111111111111111111111111111111111110111
gdpfuc,1111111111101111101111011111111011111110111111110011111011111111111110111111111011111011111110111111011111111111111111111111111110011111111111111101111111111111011111110111111111111111110111111011111111111101111001110111111101111111111101101111110111111111111110111110011111111111111111101111111110111101111111101111111101101111101111101101110111111111101111111111111101111111101111111110111111110110111011011101111111101111111011111111111010111111111111111111111111111111110100111111111111111111111111111111101101111111101111011111101111110111111111101111111111111111111111111111111111111111111111111110101111111111100101111111111111111111111100111011111101110111101111101111111111111111110111110111111111111110111011111111101110110011110101111111101111111011111111101110111110111011111111111101111111111111011111111111111101111111111111111111111101111111111111111111111111111111111111111111111010011111011111101111110111111111111111111111111111110111111111111111111111111101001111111111111111111111111111111111111111110111
gdpmann,1111111111101111101111011111111011111111111111110011111011111111111110111111111011111011111110111111011111111111111111111111111110011111111111111101111111111111011111110111111111111111110111111011111111111101111001110111111101111111111101101111110111111111111110111110011111111111111111101111111110111101111111101111111101101111101111111101110111111111101111111111111101111111101111111110111111110110111011011101111111101111111011111111111010111111111111111111111111111111110100111111111111111111111111111111101101111111101111011111101111110111111111101111111111111111111111111111111111111111111111111110101111111111100101111111111111111111111100111011111101110111101111101111111111111111110111110111111111111110111011111111101110110011110101111111101111111011111111101110111110111011111111111101111111111111011111111111111101111111111111111111111101111111111111111111111111111111111111111111111010011111011111101111110111111111111111111111111111110111111111111111111111111101001111111111111111111111111111111111111111110111
