,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
b0827,BMOCOS,BWCOS,MOCOS,WCOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1779,E4PD,GAPD,NADHHR,NADHHS,NADPHHR,NADPHHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2312,GLUPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2315,DHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3386,RPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3389,DHQS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2251,DUTPDP,NTPP3,NTPP7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2253,UDPKAAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2254,UPLA4FNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2255,UDPGDC,ULA4NFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2256,UPLA4FNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2257,LA4NTpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0674,ASNS1,ASNS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0675,G3PT,NTD2,NTD4,NTD7,NTD9,PYDXPP,R5PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0677,AGDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0179,U23GAAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3770,ILETA,LEUTAi,PHETA1,TYRTA,VALTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0524,USHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3772,THRD_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0174,UDCPDPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0173,DXPRIi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1489,CDGUNPD,PDE1,PDE4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0171,UMPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0425,DPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0356,FALDH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2810,CYSSADS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2428,ACM6PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0421,DMATT,GRTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2817,AGM3PApp,AGM4PApp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0351,ACALD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3957,ACODA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3958,AGPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3959,ACGK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2421,CYSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2132,LACZpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0428,HEMEOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1723,PFK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3794,ACMAMUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0963,MGSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3792,ECAtpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4006,AICART,IMPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4005,PRAGSr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3791,TDPAGTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3812,ACP1_FMN,PMDPHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2957,ASNNpp,GLUNpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2954,NTPP10,NTPP11,NTPP9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
