,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
b1113,MLDCP1App,MLDCP1Bpp,MLDCP2App,MLDCP2Bpp,MLDCP3App,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1378;b2895,POR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1119,ACGAMK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0077;b0078,ACHBS,ACLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3919,TPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1302,ABTA,ACOTA,SDPTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1301,GGPTRCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1300,3HPADHi,GGGABADr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3198,KDOPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2994;b2995;b2996;b2997,HYD1pp,HYD2pp,HYD3pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1224;b1225;b1226;b1227,NO3R1pp,NO3R2pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3580,3KGK,XYLK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3626,GLCTR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3627,GLCTR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3624,MOAT3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3197,A5PISO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3622,ECA4OALpp,O16A4Lpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3623,HEPT4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3620,HEPT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3588,ALDD2y,ALDD3y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4381,DRPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4269,ALDD2y,ALDD3y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4268,GNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4384,DURIPP,PUNP1,PUNP2,PUNP3,PUNP4,PUNP5,PUNP6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4386,LIPAMPL,LIPATPT,OCTNLL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1896,TRE6PS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1732,CAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1733,DC6PDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4260,AMPTASECG,AMPTASEPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4267,IDOND,IDOND2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4266,5DGLCNR,5DKGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1734,BGLA1,MC6PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3908,SPODM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0888;b2582,TRDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0175,DASYN120,DASYN140,DASYN141,DASYN160,DASYN161,DASYN180,DASYN181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3941,MTHFR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0733;b0734;b4515,CYTBDpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3412,PMEACPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0638,RZ5PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1236,GALUi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0732,MANPGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1232,FTHFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4226,PPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0630,LIPOCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0632,MDDCP1pp,MDDCP2pp,MDDCP3pp,MDDCP4pp,MDDCP5pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1474;b1475;b1476,FDH4pp,FDH5pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1238,DURIK1,TMDK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0469,ADPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3449,GPDDA1,GPDDA2,GPDDA3,GPDDA4,GPDDA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2668,CYANST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2919,MMCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4477,DDPGALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2917,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3628,GALT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2914,RPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2661,SSALy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2660,SHGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2662,ABTA,ACOTA,SDPTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3693,DDGALK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3697,F1PP,F6PP,FBP,G1PP,MN6PP,R5PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4169,AGM3PApp,AGM4PApp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3656,XYHDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4167,NADHXD,NADHXE,NADPHXD,NADPHXE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4160,PSD120,PSD140,PSD141,PSD160,PSD161,PSD180,PSD181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4161,NTP1,NTP10,NTP3,NTP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0494,LPLIPAL1A120pp,LPLIPAL1A140pp,LPLIPAL1A141pp,LPLIPAL1A160pp,LPLIPAL1A161pp,LPLIPAL1A180pp,LPLIPAL1A181pp,LPLIPAL1E120pp,LPLIPAL1E140pp,LPLIPAL1E141pp,LPLIPAL1E160pp,LPLIPAL1E161pp,LPLIPAL1E180pp,LPLIPAL1E181pp,LPLIPAL1G120pp,LPLIPAL1G140pp,LPLIPAL1G141pp,LPLIPAL1G160pp,LPLIPAL1G161pp,LPLIPAL1G180pp,LPLIPAL1G181pp,,,,,,,,,,,,,,,,,,,,,
b2221;b2222,ACACCT,BUTCT,HXCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2263,SHCHCS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2262,DHNCOAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2265,ICHORS_copy2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2264,SEPHCHCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0493,ALDD2y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2763;b2764,FADRx2,FLVR,FMNRx2,SULR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4471,SERD_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3428,GLCP,GLCP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3787,UACMAMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0124,GLCDpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0125,GUAPRT,HXPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0126,HCO3E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3786,UAG2E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0120,ADMDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0121,APCS,SPMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0088,UAMAGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0087,PAPPT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0086,UGMDDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0085,UAAGDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3650,GDPDPK,GDPTPDP,PPGPPDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2342,ACACT1r,ACACT2r,ACACT3r,ACACT4r,ACACT5r,ACACT6r,ACACT7r,ACACT8r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2615,NADK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2341,ECOAH1,ECOAH2,ECOAH3,ECOAH4,ECOAH5,ECOAH6,ECOAH7,ECOAH8,HACD1,HACD2,HACD3,HACD4,HACD5,HACD6,HACD7,HACD8,,,,,,,,,,,,,,,,,,,,,,,,,,
b2166,PSURIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0403,MLTG1,MLTG2,MLTG3,MLTG4,MLTG5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2165,YUMPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2162,CYTDH,URIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0052;b2564,PDX5PS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0261,HCYSMT,HCYSMT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0269,DXYLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0268,2DDARAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3846,CTECOAI6,CTECOAI7,CTECOAI8,ECOAH1,ECOAH2,ECOAH3,ECOAH4,ECOAH5,ECOAH6,ECOAH7,ECOAH8,HACD1,HACD2,HACD3,HACD4,HACD5,HACD6,HACD7,HACD8,,,,,,,,,,,,,,,,,,,,,,,
b3844,FADRx,FE3Ri,FLVR,FLVRx,FMNRx,FMNRx2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3845,ACACT1r,ACACT2r,ACACT3r,ACACT4r,ACACT5r,ACACT6r,ACACT7r,ACACT8r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0061,RBP4E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3843,OPHBDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0063,RBK_L1,XYLK,XYLK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0062,ARAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2988,GSPMDA,GSPMDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2989,2HESR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0978;b0979,CYTBD2pp,CYTBDpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3967,GLUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0048,DHFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3831,PYNP2r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2529,I4FE4SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0084;b0149;b0635,MCTP1App,MCTP2App,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3788,TDPGDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3994,AMPMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3996,NADDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2507,GMPS,GMPS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2500,GARFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2501,PPK,PPK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2502,PPA,PPA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2503,CDGUNPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2467,GDPMNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2465,TKT1,TKT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2464,TALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2508,IMPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3426,G3PD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0721;b0722;b0723;b0724,SUCDi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2716,AB6PGH,BGLA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2291,NTD1,NTD12,NTD3,NTD5,NTD6,NTD8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2979;b4467;b4468,GLYCTO2,GLYCTO3,GLYCTO4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0423;b2530;b3990;b3992;b4407,THZPSN3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2688,GLUCYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3625,HEPK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4146,LYSAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1521,TAGURr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2765,CPH4S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1019,FCLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0684;b1378,POR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3500,GTHOr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1011,URACPAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1010,POAACR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3951;b3952,PFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0766,PDXPP,PYDXPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0767,PGL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3092,GUI1,GUI2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3546,PETNT161pp,PETNT181pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1262,IGPS,PRAIi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1263,ANPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0902;b3114,OBTFL,PFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0394,HEX7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0784;b2530,MOADSUx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1007;b1012,PYROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1465;b1466;b1467;b1468,NO3R1pp,NO3R2pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0446,2DOXG6PP,2MAHMP,ACP1_FMN,PYDXPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0849,GRXR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1640,ANHMK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1865,DNTPPA,NTPP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1646,SPODMpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2719;b2720;b2721;b2722;b2723;b2724,HYD1pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0841,UDCPDP,UDCPDPpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1778;b2582,METSOXR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0844,ACP1_FMN,PMDPHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4122,DTARTD,FUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0509,TRSARr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3248,NTPP7,NTPP8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0118,ACONTa,ACONTb,MICITDr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1584,SPMDAT1,SPMDAT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3715,GNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0355,SFGTHi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3713,NADH10,NADH5,NADH9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4085,ALLULPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4084,ALLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1740,NADS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1747,AST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2906,OPHHXy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1745,SADH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1744,SGDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1463,ACANTHAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1748,ACOTA,SDPTA,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1654;b2675;b2676,RNDR1b,RNDR2b,RNDR3b,RNDR4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2302,2HESR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2303,DHPTPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1681;b1682;b1683;b1684,S2FE2ST,S4FE4ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1260;b1261,TRPS1,TRPS2,TRPS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0595,ICHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0594,DHBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0597,3HBZCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0596,DHBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3399,NTD11,NTD12,NTD7,NTD8,NTD9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0980,NTP3pp,PHYTSpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3781;b4219,METSOXR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3731;b3732;b3733;b3734;b3735;b3736;b3737;b3738,ATPS4rpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0604,DSBGGT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1341,DGUNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3665,ADD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0160,NTPTP1,NTPTP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1185;b3860,DSBAO1,DSBAO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0166,THDPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0340,CYNTAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3432,GLBRAN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3431,GLDBRAN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0839,MDDCP1pp,MDDCP2pp,MDDCP3pp,MDDCP4pp,MDDCP5pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3437,GNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2942,METAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0429;b0430;b0431;b0432,CYTBO3_4pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2827,TMDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0349,HKNDDH,HKNTDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0089;b0149;b1069,MPTG,MPTG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0032;b0033,CBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2530,ICYSDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2533,G2PP,MI1PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3032,PDE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0029,DMPPS,IPDPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1517,PAI2T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3809,DAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0182,LPADSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4019,METS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0180,3HAD100,3HAD120,3HAD121,3HAD140,3HAD141,3HAD160,3HAD161,3HAD180,3HAD181,3HAD40,3HAD60,3HAD80,OGMEACPD,OPMEACPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1511,AI2K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4014,MALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4015,ICL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3670;b3671,ACHBS,ACLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3806,ADNCYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1518,PAI2I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4013,HSST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4094,R15BPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0352,HOPNTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2582;b4219,METSOXR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3880,SQVOSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0932,AMPTASECG,AMPTASEPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0931,NAMNPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0937,FMNRx,FMNRx2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3488,INOSTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4129,AP4AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2541,DHCIND,DHPPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4151;b4152;b4153;b4154,FRD2,FRD3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2232,DMQMT,OHPHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1778;b3781,METSOXR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2052,GDMANE,GOFUCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
